'device_type','device_id','aircraft_model','registration','cn','tracked','identified','device_idtype'
'F','40590C','Cirrus Std','G-DCOR','COR','Y','Y','INTERNAL'
'F','405926','Cirrus','G-CKFA','S75','Y','Y','ICAO'
'F','40592E','SZD-51 Junior','G-CFFV','FFV','Y','Y','ICAO'
'F','405931','ASW-24','G-CJEL','','Y','Y','ICAO'
'F','405939','SZD-50 Puchacz','G-CJRJ','JRJ','Y','Y','ICAO'
'F','40593C','ASK-23','G-DEVW','EVW','Y','Y','ICAO'
'F','40593D','ASK-23','G-DEVX','EVX','Y','Y','ICAO'
'F','40595B','Slingsby T51 Dart 17R','G-DRRT','D17','Y','Y','INTERNAL'
'F','40595D','Unknown','R-4116','5','Y','Y','ICAO'
'F','405967','Discus','G-CGCT','GCT','Y','Y','ICAO'
'F','4059A1','ASK-21','G-DEPD','EPD','Y','Y','ICAO'
'F','4059A3','Libelle Std','G-CGEE','GEE','Y','Y','ICAO'
'F','4059B4','Cirrus Std','G-CHMY','HMY','Y','Y','ICAO'
'F','4059C8','Pilatus B4','G-CHLC','HLC','Y','Y','ICAO'
'F','4059DF','Discus','G-CJGM','R53','Y','Y','INTERNAL'
'F','4059F7','LAK-17 A','G-CKMP','KMP','Y','Y','ICAO'
'F','4059FC','ASW-20','G-CFCV','FCV','Y','Y','ICAO'
'F','405A14','Ultralight','G-TPAL','','Y','Y','ICAO'
'F','405A43','DG-300','G-DFCM','411','Y','Y','ICAO'
'F','405A4E','Ka-6 e','G-CFRE','fre','Y','Y','ICAO'
'F','405A5A','Std. Astir II','G-DEEO','EEO','Y','Y','ICAO'
'F','405A6F','ASK-13','G-CFYY','S','Y','Y','ICAO'
'F','405A72','Discus t','G-CJJD','JJD','Y','Y','ICAO'
'F','405A7B','Discus','G-CHVR','HVR','Y','Y','ICAO'
'F','405A84','DG-100','G-SHHH','EKP','Y','Y','ICAO'
'F','405A86','Slingsby Vega 15m','G-DDXG','DXG','Y','Y','ICAO'
'F','405ABE','ASK-21','G-DETA','ETA','Y','Y','ICAO'
'F','405AC0','Mini Nimbus','G-DDSP','270','Y','Y','INTERNAL'
'F','405ACD','Discus t','G-CFYX','FYX','Y','Y','ICAO'
'F','405AD1','DG-600','G-CFPW','606','Y','Y','ICAO'
'F','405AEB','Discus','G-CGDR','','Y','Y','ICAO'
'F','405AF3','Cirrus Std','G-DCTT','873','Y','Y','ICAO'
'F','405AF5','DG-200','G-CJKF','JKF','Y','Y','INTERNAL'
'O','405B0D','Robinson R44','G-GERS','','Y','Y','INTERNAL'
'F','405B0E','Ventus','G-CHHN','979','Y','Y','ICAO'
'F','405B18','Ka-6 cr','G-DCJY','CJY','Y','Y','ICAO'
'F','405B20','LS-8 18','G-CJNB','D1','Y','Y','ICAO'
'F','405B33','ASK-21','G-DERJ','R35','Y','Y','INTERNAL'
'F','405B37','ASK-21','G-CKEJ','KEJ','Y','Y','INTERNAL'
'F','405B47','ASK-13','G-EEBL','EBL','Y','Y','ICAO'
'F','405B5F','Ka-8','G-CJOZ','JOZ','Y','Y','ICAO'
'F','405B61','Ventus 2CXa','D-KDPF','P2','Y','Y','ICAO'
'F','405B7A','Astir Club','G-DEKF','EKF','Y','Y','ICAO'
'F','405B87','Janus C','G-CJVV','J50','Y','Y','ICAO'
'F','405B92','Ka-8','G-DCMN','CMN','Y','Y','ICAO'
'F','405BA9','ASK-13','G-DDLC','C','Y','Y','ICAO'
'F','405BB6','DG-300','G-CHVM','393','Y','Y','ICAO'
'F','405BB8','LS-8 18','G-FLUZ','618','Y','Y','ICAO'
'F','405BC0','LS-8','GCKSD','IT','Y','Y','ICAO'
'F','405BC7','ASW-20','G-DEAE','107','Y','Y','ICAO'
'F','405BC9','Discus','G-CFKM','SH3','Y','Y','ICAO'
'F','405BCA','Discus','G-CFUP','SH4','Y','Y','ICAO'
'F','405BCB','Std. Astir III','G-DFEB','SH8','Y','Y','ICAO'
'F','405BEA','Ka-6 e','G-CJAL','JAL','Y','Y','ICAO'
'F','405C02','Slingsby T51 Dart 17R','G-DRAT','121','Y','Y','ICAO'
'F','405C15','PW-5','G-CHZB','HZB','Y','Y','ICAO'
'F','405C16','ASK-13','G-DCCM','CCM','Y','Y','ICAO'
'F','405C26','Astir CS','G-CHXM','HXM','Y','Y','ICAO'
'F','405C42','ASK-21','G-CFYF','FYF','Y','Y','INTERNAL'
'F','405C4C','Duo Discus t','G-ODDZ','DD2','Y','Y','ICAO'
'F','405C53','Twin Astir II','G-DEWG','EWG','Y','Y','ICAO'
'F','405C6C','ASK-21','G-DJMC','R22','Y','Y','ICAO'
'F','405C71','DG-300','G-CGBS','206','Y','Y','ICAO'
'F','405CA5','Cirrus Std','G-CGCD','GCD','Y','Y','ICAO'
'F','405CAF','Cirrus Std','G-CHZV','P61','Y','Y','ICAO'
'F','405CB1','Astir CS','G-DDMP','533','Y','Y','INTERNAL'
'F','405CB3','Kestrel','G-DCTR','402','Y','Y','ICAO'
'F','405CB5','Unknown','G-PHYZ','','Y','Y','ICAO'
'F','405CC0','Ka-6 cr','G-cfls','FLS','Y','Y','ICAO'
'F','405D03','Pilatus PC-6','G-CHVH','HVH','Y','Y','ICAO'
'F','405D44','SportCruiser','G-CFLG','','Y','Y','ICAO'
'F','405D51','DR-400','D-EBSJ','SJ','Y','Y','ICAO'
'F','405D52','Pegase','G-CFRP','FRP','Y','Y','ICAO'
'F','405D72','LS-4','G-DGDJ','450','Y','Y','ICAO'
'F','405D86','ASW-20','G-EEBN','37','Y','Y','ICAO'
'F','405D97','Discus','G-DFBY','780','Y','Y','ICAO'
'O','405DA1','Robinson R44','G-HAGL','','Y','Y','INTERNAL'
'F','405DA8','ASW-19','G-CJUN','19','Y','Y','ICAO'
'F','405DC1','ASW-15','G-CKSL','KSL','Y','Y','ICAO'
'F','405DE0','Twin Astir I','G-DDSJ','DSJ','Y','Y','ICAO'
'F','405DE2','Astir CS','G-DDLM','DLM','Y','Y','INTERNAL'
'F','405DE4','Astir CS','G-CMWK','MWK','Y','Y','ICAO'
'F','405DE5','Mini Nimbus','G-CJGU','JGU','Y','Y','ICAO'
'F','405E09','ASK-18','G-CJMA','R36','Y','Y','ICAO'
'F','405E0B','ASW-20','G-DDVV','DV','Y','Y','ICAO'
'F','405E17','Cirrus Std','G-DCPU','761','Y','Y','ICAO'
'F','405E29','ASW-27','G-CHUE','N5','Y','Y','ICAO'
'O','405E31','Flight Design CTSW','G-CFKS','','Y','Y','INTERNAL'
'F','405E34','Ka-8','G-DCFF','CFF','Y','Y','ICAO'
'F','405E52','Ventus ct','R-4197','154','Y','Y','ICAO'
'F','405E5B','Cirrus Std','Cfrj','Ma','Y','Y','INTERNAL'
'F','405E60','ASG-29E','G-NYNE','9','Y','Y','ICAO'
'F','405E74','Motorplane','G-TWSS','TWS','Y','Y','INTERNAL'
'F','405E7F','SF-27','G-CFWH','FWH','Y','Y','INTERNAL'
'F','405E9C','Astir CS','G-CJML','R63','Y','Y','ICAO'
'F','405EB0','Vans RV-8','GXRVB','','Y','Y','ICAO'
'F','405EB1','ASW-27','G-CJOV','J1M','Y','Y','ICAO'
'F','405EE9','SF-25','G-CFMW','MW','Y','Y','ICAO'
'F','405F15','ASG-29E','R-4206','MC','Y','Y','ICAO'
'F','405F26','Experimental','G-IRPW','','Y','Y','ICAO'
'F','405F96','Grob G109','G-OFIX','','Y','Y','ICAO'
'F','405FA9','Grob G109','G-CFUG','','Y','Y','INTERNAL'
'F','405FE0','Ventus 2ct','G-CJUF','46','Y','Y','ICAO'
'F','406026','Ventus 2cxT','G-CKTB','M3','Y','Y','ICAO'
'F','406031','Eurostar EV97','G-HMCA','MCA','Y','Y','ICAO'
'F','406042','Ka-8','G-DEED','EED','Y','Y','ICAO'
'F','4060A2','Ventus 2','G-HLMB','B','Y','Y','ICAO'
'F','4060D0','Motorplane','G-CGKA','KA','Y','Y','ICAO'
'F','4060D1','Motorplane','G-CGKB','KB','Y','Y','ICAO'
'F','4060D2','Motorplane','G-CGKC','KC','Y','Y','ICAO'
'F','4060D3','Motorplane','G-CGKD','KD','Y','Y','ICAO'
'F','4060D4','Motorplane','G-CGKE','KE','Y','Y','ICAO'
'F','4060D5','Motorplane','G-CGKF','KF','Y','Y','ICAO'
'F','4060D6','Motorplane','G-CGKG','KG','Y','Y','ICAO'
'F','4060D7','Motorplane','G-CGKH','KH','Y','Y','ICAO'
'F','4060D8','Motorplane','G-CGKI','KI','Y','Y','ICAO'
'F','4060D9','Motorplane','G-CGKJ','KJ','Y','Y','ICAO'
'F','4060DA','Motorplane','G-CGKK','KK','Y','Y','ICAO'
'F','4060DB','Motorplane','G-BYKL','KL','Y','Y','ICAO'
'F','4060DC','Motorplane','G-CGKM','KM','Y','Y','ICAO'
'F','4060DD','Motorplane','G-CGKN','KN','Y','Y','ICAO'
'F','4060DE','Motorplane','G-CGKO','KO','Y','Y','ICAO'
'F','4060DF','Motorplane','G-CGKP','KP','Y','Y','ICAO'
'F','4060E0','Motorplane','G-CGKR','KR','Y','Y','ICAO'
'F','4060E1','Motorplane','G-CGKS','KS','Y','Y','ICAO'
'F','4060E2','Motorplane','G-CGKT','KT','Y','Y','ICAO'
'F','4060E3','Motorplane','G-CGKU','KU','Y','Y','ICAO'
'F','4060E4','Motorplane','G-CGKV','KV','Y','Y','ICAO'
'F','4060E5','Motorplane','G-CGKW','KW','Y','Y','ICAO'
'F','4060E6','Motorplane','G-CGKX','KX','Y','Y','ICAO'
'F','40611C','Discus t','G-SANT','SC','Y','Y','ICAO'
'F','406124','Robinson R44','G-SPTR','','Y','Y','ICAO'
'F','40613E','Eurostar EV97','G-HAEF','AEF','Y','Y','ICAO'
'O','406158','Bell 206','G-PTOO','','Y','Y','INTERNAL'
'F','4061BB','LS-3','G-DEFS','LS3','Y','Y','ICAO'
'F','40624C','DG-200','G-CLEU','LEU','Y','Y','ICAO'
'O','40624E','Astir CS','OK-7430','IZZ','Y','Y','INTERNAL'
'F','406264','Ka-6 cr','G-DCBM','CBM','Y','Y','INTERNAL'
'F','4062A0','DR-400','G-ENBW','BW','Y','Y','ICAO'
'F','4062DD','Duo Discus t','G-IGLI','563','Y','Y','ICAO'
'F','4062F9','ASW-19','G-DDWZ','','Y','Y','ICAO'
'O','406306','Bell 206','G-VVBO','','Y','Y','INTERNAL'
'F','406354','Vans RV-6a','G-RVNI','','Y','Y','ICAO'
'F','406370','Robinson R44','G-CGNE','','Y','Y','ICAO'
'O','406381','Robinson R44','G-DGFD','','Y','Y','INTERNAL'
'F','4063C9','Duo Discus xlt','G-CLFX','XL','Y','Y','ICAO'
'F','4063CC','SF-25','G-CGNW','NW','Y','Y','ICAO'
'F','4064B6','DR-400','G-TUGZ','','Y','Y','ICAO'
'F','4064DA','EuroFox','G-EFOX','','Y','Y','ICAO'
'F','406582','Duo Discus xlt','G-CLGZ','T3','Y','Y','INTERNAL'
'O','40659B','Bell 206','G-TTGV','','Y','Y','INTERNAL'
'F','40659E','Ikarus C42 B','G-HMCE','MCE','Y','Y','ICAO'
'F','4065B1','Astir CS','G-CJBZ','R66','Y','Y','ICAO'
'O','4065D3','Bell 206','G-NORK','','Y','Y','INTERNAL'
'F','406654','Arcus T','G-JKRV','291','Y','Y','ICAO'
'F','406667','SF-25','D-KBSM','','Y','Y','INTERNAL'
'F','4066EC','ASH-25 MI','GCLJE','LJE','Y','Y','ICAO'
'F','40679F','Ventus 2CXa','G-XAVV','152','Y','Y','ICAO'
'F','4067AF','DG-300','G-CHME','LKA','Y','Y','ICAO'
'F','4067B5','ASK-13','G-CJWJ','R38','Y','Y','INTERNAL'
'F','4067E9','EuroFox','G-CHIH','','Y','Y','ICAO'
'F','406805','Grob G109','G-CHIG','HIG','Y','Y','ICAO'
'F','406831','EuroFox','G-UFOX','','Y','Y','ICAO'
'F','406887','Duo Discus xlt','G-SAXL','16','Y','Y','ICAO'
'F','4068A6','Janus CM','G-CLKG','HI','Y','Y','INTERNAL'
'O','4068B3','Cessna 152','G-SHBA','GBA','Y','Y','ICAO'
'F','4068CD','SZD-50 Puchacz','G-MRVN','VN','Y','Y','ICAO'
'F','406968','Arcus M','G-SMAR','AR','Y','Y','INTERNAL'
'F','4069BC','Grob G109','G-CHYB','YB','Y','Y','INTERNAL'
'F','4069C6','HPH 304S Shark','G-CLLH','LLH','Y','Y','ICAO'
'O','4069DC','Cessna 152','G-CICC','GCC','Y','Y','ICAO'
'F','4069EC','HPH 304S Shark','G-WJET','JET','Y','Y','ICAO'
'F','406A23','AS 350','G-JOZI','','Y','Y','ICAO'
'F','406A40','Towplane','G-TTUG','TUG','Y','Y','ICAO'
'F','406A4C','EuroFox','G-CIBF','BF','Y','Y','ICAO'
'F','406A5C','ASW-28 18','G-COPP','JG','Y','Y','ICAO'
'F','406A87','EuroFox','G-CIFO','FO','Y','Y','ICAO'
'F','406AA3','Arcus M','GKFVG','4M','Y','Y','ICAO'
'F','406AD5','SF-25','G-sasf','SF','Y','Y','ICAO'
'O','406AE4','Towplane','G-CIEF','IEF','Y','Y','INTERNAL'
'F','406AF1','EuroFox','G-OSGU','GGU','Y','Y','ICAO'
'F','406B02','LS-6 18','G-CVBA','BA','Y','Y','INTERNAL'
'F','406B04','Ventus 2ct','G-CLME','LME','Y','Y','ICAO'
'F','406B33','EuroFox','G-CIEH','EH','Y','Y','ICAO'
'F','406B7B','Gyrocopter','G-CIHW','','Y','Y','ICAO'
'F','406B82','PA-28','D-EVTA','','Y','Y','INTERNAL'
'F','406B8C','HPH 304S Shark','GCLMV','G0','Y','Y','ICAO'
'F','406BA2','Towplane','G-FOKX','OKX','Y','Y','ICAO'
'F','406BED','ASH-31 MI','G-CLNE','TJ','Y','Y','INTERNAL'
'F','406BF4','HPH 304S Shark','G-TRBN','J5T','Y','Y','ICAO'
'F','406BF8','DG-303','G-CLMY','I3','Y','Y','ICAO'
'O','406C09','Robinson R66','G-OHAS','','Y','Y','INTERNAL'
'F','406C10','SF-25','G-SACN','CN','Y','Y','ICAO'
'F','406C23','Eurostar EV97','G-NILT','-','Y','Y','ICAO'
'O','406C27','Robinson R66','G-RMAR','','Y','Y','INTERNAL'
'F','406C4F','EuroFox','G-PWAL','','Y','Y','ICAO'
'F','406C50','Eurostar EV97','G-HMCF','MCF','Y','Y','ICAO'
'F','406C9A','Duo Discus xlt','G-CIJF','4','Y','Y','ICAO'
'O','406CA2','Robinson R66','G-HKCC','','Y','Y','INTERNAL'
'O','406CB5','Cabri G2','G-HCEN','','Y','Y','INTERNAL'
'F','406CCD','Robinson R66','G-LARD','','Y','Y','ICAO'
'F','406CFD','Grob G109','G-CINO','','Y','Y','ICAO'
'F','406CFF','EuroFox','G-CIKH','KH','Y','Y','ICAO'
'F','406D11','ASK-21','G-CLOL','775','Y','Y','ICAO'
'F','406D30','Silent 2 Electro','G-CILB','ILB','Y','Y','ICAO'
'F','406D47','HPH 304S Shark','G-CLON','28','Y','Y','ICAO'
'F','406D65','HPH 304S Shark','G-DLOT','LOT','Y','Y','ICAO'
'F','406D89','Robinson R66','G-LROK','','Y','Y','ICAO'
'O','406DBD','Cabri G2','G-FPEH','','Y','Y','ICAO'
'F','406DCF','Cessna 172','G-CIRO','','Y','Y','ICAO'
'F','406DD1','LS-10','G-KISP','SP','Y','Y','ICAO'
'F','406DF2','Grob G109','G-OSPX','SPX','Y','Y','ICAO'
'F','406E0E','EuroFox','G-CIOF','OF','Y','Y','ICAO'
'F','406E26','SF-25','GKINT','G K','Y','Y','ICAO'
'F','406E2D','ASK-21','G-CLOV','LOV','Y','Y','ICAO'
'F','406E32','SkyRanger Nynja','G-CIPR','','Y','Y','ICAO'
'F','406E49','Astir Jeans','G-CITE','LPM','Y','Y','ICAO'
'F','406E85','Ultralight','GKWKX','','Y','Y','ICAO'
'O','406E8E','Robinson R44','G-NELS','','Y','Y','INTERNAL'
'F','406E90','Unknown','G-CITX','','Y','Y','ICAO'
'F','406EB8','Glasflugel 304S T','G-JETV','SH','Y','Y','ICAO'
'F','406F02','EuroFox','G-CIWG','','Y','Y','ICAO'
'O','406F12','Robinson R44','G-LINZ','','Y','Y','INTERNAL'
'F','406F2F','ASG-29E','G-CLRA','RA1','Y','Y','ICAO'
'F','406F36','Silent 2 Electro','G-OFES','','Y','Y','ICAO'
'F','406FC2','Silent 2 Electro','G-CJBA','JBA','Y','Y','ICAO'
'F','406FCA','Discus t','G-CLRJ','LRJ','Y','Y','ICAO'
'O','407015','Robinson R66','G-GOMS','','Y','Y','INTERNAL'
'F','407016','SkyRanger Nynja','G-CJAK','','Y','Y','ICAO'
'O','407032','Cabri G2','G-OGTC','','Y','Y','INTERNAL'
'F','407060','Twin Astir III','G-CLPX','PX','Y','Y','ICAO'
'F','407072','HU 369','G-MCDD','','Y','Y','ICAO'
'F','4070AD','ASK-21','G-CLSH','776','Y','Y','ICAO'
'F','4070D5','EuroFox','G-OYGC','GGC','Y','Y','ICAO'
'F','4070DB','Apis 2','G-CJGT','JGT','Y','Y','INTERNAL'
'O','407126','Helicopter','G-BIGB','','Y','Y','INTERNAL'
'F','407147','Robinson R66','G-TRON','','Y','Y','ICAO'
'F','407150','EuroFox','G-CJHF','','Y','Y','ICAO'
'F','40715E','ASW-20','G-CLSW','20B','Y','Y','ICAO'
'O','407160','Cabri G2','G-RJVH','','Y','Y','INTERNAL'
'F','407161','Silent 2 Electro','GCJIB','JIB','Y','Y','ICAO'
'F','4071AD','JS-1 C18 Evo','G-DPER','ER','Y','Y','ICAO'
'F','4071B0','DR-400','G-ELSB','SB','Y','Y','ICAO'
'F','4071EE','ASG-29E','G-LOUD','621','Y','Y','ICAO'
'F','4071FA','PA-28','G-CJLI','','Y','Y','ICAO'
'F','40724F','ASG-29E','51','51','Y','Y','ICAO'
'F','407257','Stemme S-10','G-HEFF','S12','Y','Y','INTERNAL'
'F','40725C','LAK-17 AT','GPORG','RG','Y','Y','ICAO'
'O','407279','Robinson R44','G-DENY','','Y','Y','INTERNAL'
'F','40727F','HPH 304S Shark','G-CLTW','SF','Y','Y','ICAO'
'O','40728F','Cabri G2','G-CRSS','','Y','Y','INTERNAL'
'F','4072CF','Towplane','G-CKAB','KAB','Y','Y','ICAO'
'F','4072D6','DG-1000','G-OSOR','SOR','Y','Y','ICAO'
'F','4072D8','HPH 304S Shark','G-DLTY','LTY','Y','Y','ICAO'
'F','4072D9','Eurostar EV97','G-HMCH','MCH','Y','Y','ICAO'
'F','4072DE','Cirrus','G-RAHA','M11','Y','Y','ICAO'
'F','407350','Std. Astir III','G-CLUD','SH7','Y','Y','ICAO'
'F','407387','Robinson R66','G-NJNH','','Y','Y','ICAO'
'F','4073B6','Motorglider','G-CKIU','KIU','Y','Y','ICAO'
'F','4073D9','LAK-17B FES','G-CLUJ','LUJ','Y','Y','ICAO'
'O','4073F5','Gyrocopter','G-MGNI','','Y','Y','INTERNAL'
'F','407475','ASK-23','G-CLUV','LUV','Y','Y','ICAO'
'F','40750A','Discus 2t','G-JBOB','JO','Y','Y','ICAO'
'F','407515','Discus 2c','GCLVD','Z18','Y','Y','ICAO'
'F','40759E','ASH-31 MI','R-4372','RP','Y','Y','ICAO'
'F','4075D8','HPH 304S Shark','G-CLVS','LVS','Y','Y','ICAO'
'F','4075E1','Nimbus 2','G-DDVA','LB','Y','Y','ICAO'
'F','407612','Helicopter','G-IGGI','','Y','Y','ICAO'
'O','40762A','Ventus 3T','G-CKYO','64','Y','Y','ICAO'
'F','407655','ASK-21','G-CLWA','774','Y','Y','INTERNAL'
'F','40765A','Pegase','G-CLVZ','','Y','Y','INTERNAL'
'F','407673','Robinson R66','G-SAPA','','Y','Y','ICAO'
'F','4076A6','LAK-17B FES','G-ELAK','AK','Y','Y','ICAO'
'O','4076C8','Robinson R66','G-ICEL','','Y','Y','INTERNAL'
'F','4076CA','EuroFox','G-OSGC','GGC','Y','Y','ICAO'
'F','407723','LAK-17B FES','G-CLWP','WP','Y','Y','ICAO'
'F','407771','DR-400','G-CLDL','','Y','Y','ICAO'
'F','40777B','Duo Discus t','G-KEMJ','2UP','Y','Y','INTERNAL'
'F','4077F0','Twin Astir III','G-CLXH','XH','Y','Y','ICAO'
'F','4077F5','Ventus 2','G-FOXH','77','Y','Y','ICAO'
'O','407810','Robinson R44','G-CLEZ','','Y','Y','INTERNAL'
'O','40781E','Gyrocopter','G-TADI','','Y','Y','INTERNAL'
'O','40781F','Cabri G2','G-SANJ','','Y','Y','INTERNAL'
'F','40788E','Ventus 3M','G-CLXO','Z9','Y','Y','ICAO'
'F','4078BB','Ventus 2cxT','G-KADS','KS','Y','Y','ICAO'
'F','40791C','ASG-29E','K7','K7','Y','Y','ICAO'
'F','407975','SZD-51 Junior','G-CLYL','VB','Y','Y','ICAO'
'F','407984','Discus 2c','G-CLMB','D2','Y','Y','ICAO'
'F','407A9A','Ventus 3T','R-4396','306','Y','Y','ICAO'
'F','407AB2','Discus t','G-CLZH','ZA','Y','Y','INTERNAL'
'O','40FC36','Baloon','YL-025','27','Y','Y','INTERNAL'
'O','414931','LS-1 f','OK-8522','PK','Y','Y','INTERNAL'
'O','414E0A','Grob G109','SP-0088','88','Y','Y','INTERNAL'
'O','418512','SZD-30 Pirat','SP-2549','PT2','Y','Y','INTERNAL'
'O','419B64','Cessna 172','D-EDLZ','DLZ','Y','Y','INTERNAL'
'O','41F247','SZD-30 Pirat','SP-2976','PT1','Y','Y','INTERNAL'
'O','41FF36','Cessna 152','HA-SKS','SKS','Y','Y','INTERNAL'
'O','42454E','Different Aircraft','BENI-M','BEN','Y','Y','INTERNAL'
'O','425107','A380','R-4406','','Y','Y','INTERNAL'
'F','425129','Slingsby Type 42','AXJ','AXJ','Y','Y','ICAO'
'O','42BB32','SZD-48-3 Jantar Std 3','MI','MI','Y','Y','INTERNAL'
'O','42E630','SZD-48 Jantar Std 2','52','52','Y','Y','INTERNAL'
'O','430506','Unknown','PETRA77','P77','Y','Y','INTERNAL'
'O','430841','Paraglider','PaM-PG','PaM','Y','Y','INTERNAL'
'O','430842','Paraglider','VaZ-PG','VaZ','Y','Y','INTERNAL'
'O','430843','Paraglider','430843','843','Y','Y','INTERNAL'
'O','430844','Paraglider','430844','844','Y','Y','INTERNAL'
'O','430845','Paraglider','430845','845','Y','Y','INTERNAL'
'O','430846','Paraglider','JuP-PG','JuP','Y','Y','INTERNAL'
'O','430847','Paraglider','ZAn-PG','ZAn','Y','Y','INTERNAL'
'O','430848','Paraglider','FA095','RBZ','Y','Y','INTERNAL'
'O','430850','Paraglider','430850','BK','Y','Y','INTERNAL'
'O','430851','Paraglider','VeG-PG','VeG','Y','Y','INTERNAL'
'O','430852','Paraglider','430852','852','Y','Y','INTERNAL'
'O','430853','Paraglider','RoR-PG','RoR','Y','Y','INTERNAL'
'O','430854','Paraglider','430854','Vas','Y','Y','INTERNAL'
'O','430855','Paraglider','OM-M961','PJC','Y','Y','INTERNAL'
'O','430856','Paraglider','EO-PG','EO','Y','Y','INTERNAL'
'O','430857','Paraglider','Joe-PG','Joe','Y','Y','INTERNAL'
'O','430858','Paraglider','SZ-934','PG','Y','Y','INTERNAL'
'O','438B46','Unknown','viewAir','68','Y','Y','INTERNAL'
'O','43AE43','SZD-30 Pirat','SP-3871','AL','Y','Y','INTERNAL'
'F','43C8B3','Grob G120TP','ZM300','','Y','Y','ICAO'
'F','43C8B4','Grob G120TP','ZM301','','Y','Y','ICAO'
'F','43C8B5','Grob G120TP','ZM302','','Y','Y','ICAO'
'F','43C8B6','Grob G120TP','ZM303','','Y','Y','ICAO'
'F','43C8B7','Grob G120TP','ZM304','','Y','Y','ICAO'
'F','43C8B8','Grob G120TP','ZM305','','Y','Y','ICAO'
'F','43C8B9','Grob G120TP','ZM306','','Y','Y','ICAO'
'F','43C8BA','Grob G120TP','ZM307','','Y','Y','ICAO'
'F','43C8BB','Grob G120TP','ZM308','','Y','Y','ICAO'
'F','43C8BC','Grob G120TP','ZM309','','Y','Y','ICAO'
'F','43C8BE','Grob G120TP','ZM311','','Y','Y','ICAO'
'F','43C8BF','Grob G120TP','ZM312','','Y','Y','ICAO'
'F','43C8C0','Grob G120TP','ZM313','','Y','Y','ICAO'
'F','43C8C1','Grob G120TP','ZM314','','Y','Y','ICAO'
'F','43C8C2','Grob G120TP','ZM315','','Y','Y','ICAO'
'F','43C8C3','Grob G120TP','ZM316','','Y','Y','ICAO'
'F','43C8C4','Grob G120TP','ZM317','','Y','Y','ICAO'
'F','43C8C5','Grob G120TP','ZM318','','Y','Y','ICAO'
'F','43C8C6','Grob G120TP','ZM319','','Y','Y','ICAO'
'F','43C8C7','Grob G120TP','ZM320','','Y','Y','ICAO'
'F','43C8C8','Grob G120TP','ZM321','','Y','Y','ICAO'
'F','43C8C9','Grob G120TP','ZM322','','Y','Y','ICAO'
'O','43E8C5','Helicopter','M-JCBA','','Y','Y','INTERNAL'
'O','43E9DF','Helicopter','M-JCBC','','Y','Y','INTERNAL'
'F','43EB34','Diamond DA42','2-GSYJ','','Y','Y','ICAO'
'O','43EF2A','Ultralight','EC-IOY','','Y','Y','INTERNAL'
'F','440016','AS 350','OE-XGE','HAU','Y','Y','ICAO'
'F','440038','EC 135','OE-XLR','SHS','Y','Y','ICAO'
'F','440044','Ground Station','GeZC','TLT','N','N','ICAO'
'F','4400D7','AS 350','OE-XHX','WUH','Y','Y','ICAO'
'F','4400E0','Cessna 182','OE-DID','','Y','Y','ICAO'
'F','440147','DA40','OE-DSR','DSR','Y','Y','ICAO'
'F','44015B','AS 350','OE-XOH','HTM','Y','Y','ICAO'
'F','44015E','EC 135','OE-XRS','SHS','Y','Y','ICAO'
'F','44016E','DR-400','OE-DFO','FO','Y','Y','ICAO'
'F','4401B5','ASH-31 MI','OE-9507','777','Y','Y','ICAO'
'F','4401DD','SF-25','OE-9222','','Y','Y','ICAO'
'F','44020F','Motorplane','OE-KMX','KMX','Y','Y','ICAO'
'F','440210','Cessna 182','OE-DIV','DIV','Y','Y','ICAO'
'F','44024F','ASW-19','OE-5166','H3','Y','Y','ICAO'
'F','440256','Cessna 172','OE-DTN','','Y','Y','ICAO'
'F','440271','AS 350','OE-XBF','HTM','Y','Y','ICAO'
'F','4402BD','DR-400','OE-KUM','KUM','Y','Y','ICAO'
'F','44030A','DV20 Katana','OE-CCS','','Y','Y','ICAO'
'F','44030E','AS 350','OE-XIE','HAU','Y','Y','ICAO'
'F','44033A','EC 135','OE-XME','HAU','Y','Y','ICAO'
'F','440345','ASK-13','PH-1013','','Y','Y','ICAO'
'F','44034C','DA20 Katana','OE-AMB','','Y','Y','INTERNAL'
'F','440388','Cessna 208','OE-DEC','','Y','Y','ICAO'
'F','440394','WT9 Dynamic','OE-7147','','Y','Y','ICAO'
'F','4403B5','Robinson R44','OE-XHK','','Y','Y','ICAO'
'F','4403C2','AS 350','OE-XMH','HTM','Y','Y','ICAO'
'F','4403C4','Experimental','OE-AWS','AWS','Y','Y','ICAO'
'F','4403CA','HK36 Super Dimona','OE-9482','82','Y','Y','ICAO'
'F','4403DD','EC 135','OE-XXR','SHS','Y','Y','ICAO'
'F','440449','HK36 Super Dimona','OE-9432','432','Y','Y','ICAO'
'F','44044A','DA20 Katana','OE-CEM','CEM','Y','Y','ICAO'
'F','44044B','PA-28','OE-KSM','KSM','Y','Y','ICAO'
'F','44046D','WT9 Dynamic','D-MFOE','OE','Y','Y','ICAO'
'F','440491','AS 350','OE-XOE','HAU','Y','Y','ICAO'
'F','4404A0','EC 135','OE-XHZ','WUH','Y','Y','ICAO'
'F','4404A7','Bell 206','OE-BXP','POL','Y','Y','ICAO'
'F','4404B5','AS 350','OE-BXN','POL','Y','Y','ICAO'
'F','4404B6','Bell 206','OE-BXO','POL','Y','Y','ICAO'
